program_id,program_name,funder_type,agency_or_funder,cfda_number,funds_what,eligible_applicant_types,requires_government_intermediary,requires_match_funding,geography_scope,sector_tags,typical_award_size,notes,source_url
fema_bric,Building Resilient Infrastructure and Communities (BRIC),federal,FEMA,97.047,direct_project,state|local_government|tribal_government|territory|nonprofit_501c3|individual|for_profit_business,TRUE,TRUE,national,hazard_mitigation|disaster_recovery|infrastructure,large ($1M+),"Nonprofits cannot apply directly - must go through an eligible government sub-applicant.",https://www.fema.gov/grants/mitigation/learn/building-resilient-infrastructure-communities
fema_hmgp,Hazard Mitigation Grant Program,federal,FEMA,97.039,direct_project,state|local_government|tribal_government|territory|nonprofit_501c3|individual|for_profit_business,TRUE,TRUE,national,hazard_mitigation|disaster_recovery,large ($1M+),"Post-disaster-declaration only. Same government-intermediary requirement as BRIC.",https://www.fema.gov/grants/mitigation
fema_pa,Disaster Grants - Public Assistance,federal,FEMA,97.036,direct_project,state|local_government|tribal_government|nonprofit_501c3,FALSE,TRUE,national,disaster_recovery,large ($1M+),"One of the few FEMA programs where certain private nonprofits (e.g. running essential services) can apply directly.",https://www.fema.gov/assistance/public
arc_power,ARC POWER Initiative,federal,Appalachian Regional Commission,,direct_project,state|local_government|tribal_government|higher_ed|nonprofit_501c3,FALSE,TRUE,appalachia,economic_development|coal_community_transition,medium ($100K-1M),"Direct nonprofit eligibility - no government intermediary required. Requires SAM/UEI registration.",https://www.arc.gov/power/
arc_inspire,ARC INSPIRE Initiative,federal,Appalachian Regional Commission,,direct_project,state|local_government|tribal_government|higher_ed|nonprofit_501c3,FALSE,TRUE,appalachia,substance_use_recovery|workforce,medium ($100K-1M),"Direct nonprofit eligibility. Focused on SUD recovery ecosystems / workforce re-entry.",https://www.arc.gov/grants-and-opportunities/sud/inspire-initiative-application-information/
hud_cdbg_dr,CDBG Disaster Recovery / CDBG-MIT,federal,HUD,14.218|14.228,direct_project,state|local_government|nonprofit_501c3,TRUE,FALSE,national,disaster_recovery|hazard_mitigation|housing,large ($1M+),"States/entitlement local governments are direct grantees; nonprofits typically participate as subrecipients under the government's plan.",https://www.hud.gov/cdbg-dr
hud_grrp,Green and Resilient Retrofit Program,federal,HUD,14.021,direct_project,nonprofit_owners_of_assisted_housing|for_profit_owners_of_assisted_housing,FALSE,FALSE,national,green_infrastructure|housing,medium ($100K-1M),"Targets owners of HUD-assisted multifamily housing directly, not a government-intermediary program.",https://www.hud.gov/grrp
nsf_civic,NSF Civic Innovation Challenge (CIVIC),federal,NSF,47.084,direct_project,higher_ed|nonprofit_501c3|local_government|tribal_government,FALSE,FALSE,national,climate_adaptation|community_resilience|research,medium ($100K-1M),"Explicitly multi-partner: civic partner (nonprofit/local govt) + research partner. Track A is literally resilient-communities co-design. CFDA 47.084 (NSF Technology, Innovation and Partnerships) is the directorate-level umbrella code - NSF doesn't issue a distinct CFDA per individual solicitation, so this is a broad proxy shared with nsf_engines, not CIVIC-specific precedent. Was the placeholder '47.x' until 2026-06-26 - silently never matched any real award data before this fix.",https://www.nsf.gov/funding/opportunities/civic-civic-innovation-challenge/505728/nsf24-534/solicitation
nsf_engines,NSF Regional Innovation Engines,federal,NSF,47.084,direct_project,higher_ed|nonprofit_501c3|for_profit_business|tribal_government|state|local_government,FALSE,TRUE,regional,innovation_ecosystem|economic_development,large ($1M+),"Nonprofit-led regional coalitions explicitly eligible as lead organization. Good fit for innovation-ecosystem nonprofits. CFDA 47.084 (NSF Technology, Innovation and Partnerships) is the directorate-level umbrella code shared with nsf_civic - not Engines-specific precedent. Was the placeholder '47.x' until 2026-06-26.",https://www.nsf.gov/funding/initiatives/regional-innovation-engines
usda_reap,Rural Energy for America Program (REAP),federal,USDA,10.868,direct_project,rural_small_business|agricultural_producer,FALSE,TRUE,rural,green_infrastructure|energy,small_to_medium (<$1M),"Direct eligibility for rural small businesses and ag producers - no government intermediary. CFDA 10.868 confirmed by exact title match against cfda_program_summary.parquet - 18,017 awards/10yr, the real program code. Was the placeholder '10.x' until 2026-06-26 - silently never matched any real award data before this fix.",https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans
usda_rfsip,Resilient Food System Infrastructure Program,federal,USDA,10.190,direct_project,for_profit_business|nonprofit_501c3|local_government|tribal_government,FALSE,TRUE,national,food_security|disaster_recovery,medium ($100K-1M),"Confirmed present in our USAspending pull: 57 awards, $388.5M over 5 years.",https://www.ams.usda.gov/services/funding/rfsip
