program_id,program_name,funder_type,agency_or_funder,owner_org,cfda_number,funds_what,eligible_applicant_types,requires_government_intermediary,requires_match_funding,geography_scope,sector_tags,typical_award_size,notes,source_url
can_nrcan_firesmart,Contributions in Support of the Resilient Communities Through FireSmart Program,federal,Natural Resources Canada,nrcan-rncan,,direct_project,government|other,TRUE,UNKNOWN,national,wildfire_management|community_resilience|hazard_mitigation,large ($1M+),"Real recipient_type_breakdown (20 awards, 2024-2026): Government (18); Other (2) - no nonprofit/Indigenous/academia direct recipients observed at all in this program's real award history, unlike NRCan's other three wildfire programs below. Treat as government-intermediary-leaning until a NOFO/guidelines text confirms otherwise - this flag is set from observed recipient mix, not from reading program terms (no terms text collected for any Canadian program yet, see Known limitations).",https://search.open.canada.ca/grants/
can_nrcan_wildland_fire_knowledge,Contributions in Support of Building and Mobilizing Foundational Wildland Fire Knowledge,federal,Natural Resources Canada,nrcan-rncan,,direct_project,indigenous|academia|other|government,FALSE,UNKNOWN,national,wildfire_management|research|indigenous_programs,large ($1M+),"Real recipient_type_breakdown (20 awards, all 2025): Indigenous recipients (7); Academia (5); Other (5); Government (3) - broad direct access, no single type dominates. Brand-new program (single fiscal year of awards so far) - precedent is thin by tenure, not by recipient diversity.",https://search.open.canada.ca/grants/
can_nrcan_wildland_fire_resilience,Wildland Fire Resilience,federal,Natural Resources Canada,nrcan-rncan,,direct_project,academia|indigenous|other|government|international_ngo|for_profit,FALSE,UNKNOWN,national,wildfire_management|community_resilience|research,medium ($100K-1M),"Real recipient_type_breakdown (68 awards, 2019-2025): Academia (29); Indigenous recipients (17); Other (15); Government (4); International-NGO (2); For-profit (1) - the most direct-access-friendly of NRCan's four wildfire programs, academia-led but genuinely open across types.",https://search.open.canada.ca/grants/
can_nrcan_fighting_wildfires_climate,Fighting and Managing Wildfires in a Changing Climate,federal,Natural Resources Canada,nrcan-rncan,,direct_project,indigenous|government|other|academia,FALSE,UNKNOWN,national,wildfire_management|indigenous_programs|climate_adaptation,large ($1M+),"Real recipient_type_breakdown (72 awards, 2022-2025): Indigenous recipients (43, the majority); Government (20); Other (8); Academia (1). Largest dollar pool of NRCan's four wildfire programs ($316.3M total) and the only one where Indigenous recipients are the plurality, not government - a real, notable pathway for Indigenous-led wildfire work specifically.",https://search.open.canada.ca/grants/
can_hicc_dmaf,Disaster Mitigation and Adaptation Fund,federal,"Department of Housing, Infrastructure and Communities",infc,,direct_project,government|nonprofit|indigenous,FALSE,UNKNOWN,national,hazard_mitigation|disaster_recovery|climate_adaptation|infrastructure,large ($1M+),"Real recipient_type_breakdown (96 awards under the 'and' spelling, 2019-2026): Government (55, 87% of typed awards); Not-for-profit (6); Indigenous recipients (2) - government-dominated in practice but not a hard gate, nonprofits and Indigenous orgs have received direct awards. Largest median award in this whole table ($13.77M) - same 'biggest infrastructure-program median' role RAISE/BUILD plays in the US table. Real data-quality note: a second, smaller batch of 31 awards ($604M total) is recorded under the inconsistent name 'Disaster Mitigation & Adaptation Fund' ('&' instead of 'and') with no recipient_type recorded at all - same program, a disclosure-data naming-drift artifact, not a second program. Combined this is the single largest dollar program found in the wildfire/flood/forest test case.",https://search.open.canada.ca/grants/
can_hicc_natural_infrastructure_fund,Natural Infrastructure Fund,federal,"Department of Housing, Infrastructure and Communities",infc,,direct_project,government|nonprofit|indigenous|other,FALSE,UNKNOWN,national,green_infrastructure|flood_mitigation|climate_adaptation|community_resilience,medium ($100K-1M),"Real recipient_type_breakdown (64 awards, 2023-2026): Government (11); Not-for-profit (7); Indigenous recipients (2); Other (1) - real nonprofit access (a third of typed awards), newer and smaller-dollar program than DMAF above but a more nonprofit-friendly mix.",https://search.open.canada.ca/grants/
can_psc_community_resilience_fund,Community Resilience Fund (CRF),federal,Public Safety Canada,ps-sp,,direct_project,nonprofit|international_ngo|academia|other|government|for_profit,FALSE,UNKNOWN,national,community_resilience|disaster_recovery|hazard_mitigation,medium ($100K-1M),"Real recipient_type_breakdown (105 awards, 2017-2025, the longest-running program in this table): Not-for-profit (50, the plurality); International-NGO (25); Academia (22); Other (4); Government (3); For-profit (1) - the cleanest direct-nonprofit pathway found in this batch, same role the US Refugee Admissions Program (19.510) plays in the USA table. Worth leading with for a nonprofit-led community wildfire/flood resilience project specifically.",https://search.open.canada.ca/grants/
can_acoa_hfrf_bdp,BDP - Hurricane Fiona Recovery Fund (HFRF),federal,Atlantic Canada Opportunities Agency,acoa-apeca,,direct_project,for_profit|government|individual_sole_proprietorship,FALSE,UNKNOWN,atlantic_canada,disaster_recovery|economic_development,medium ($100K-1M),"Real recipient_type_breakdown (131 awards, 2022-2024): For-profit (22); Government (9); Individual/sole proprietorship (1) - storm-specific (Hurricane Fiona) and almost certainly closed/fully obligated by now (no awards after April 2024), same 'real precedent value, not an active funding lead' flag as the US table's Hurricane Sandy program (15.677). Business-recovery-focused, not directly a forest/wildfire-prevention fit, included for ACOA's regional disaster-recovery precedent value.",https://search.open.canada.ca/grants/
can_acoa_hfrf_icf,ICF - Hurricane Fiona Recovery Fund (HFRF),federal,Atlantic Canada Opportunities Agency,acoa-apeca,,direct_project,government|nonprofit,FALSE,UNKNOWN,atlantic_canada,disaster_recovery|community_resilience,medium ($100K-1M),"Real recipient_type_breakdown (88 awards, 2023-2024): Government (21); Not-for-profit (17) - a separate ACOA administrative stream from the BDP row above (same Hurricane Fiona response, different funding authority/recipient mix - For-profit-heavy BDP vs Government/Nonprofit-heavy ICF). Also storm-specific and likely closed.",https://search.open.canada.ca/grants/
can_ps_dfaa,Disaster Financial Assistance Arrangements (DFAA),federal,Public Safety Canada,ps-sp,,direct_project,government,TRUE,UNKNOWN,national,disaster_recovery|hazard_mitigation,large ($1M+),"Real recipient_type_breakdown (72 awards merged across 4 inconsistent name spellings, $1.80B total): Government in 100% of typed awards - the only program in this batch with zero non-government recipients observed at all. Canada's core federal cost-sharing mechanism for provincial/territorial disaster response (closest Canadian analog to FEMA Public Assistance) - provinces/territories are the applicants, individuals/nonprofits are reimbursed only as sub-recipients through that channel. Flagged TRUE on strong evidence, not the weak FireSmart-style inference.",https://search.open.canada.ca/grants/
can_ps_ndmp,National Disaster Mitigation Program (NDMP),federal,Public Safety Canada,ps-sp,,direct_project,government,TRUE,UNKNOWN,national,hazard_mitigation|flood_mitigation,medium ($100K-1M),"Real recipient_type_breakdown (91 awards merged across 6 inconsistent name spellings, $189.7M total): Government only in every typed sub-batch. Date range suggests a closed program (no awards found after roughly 2020) - flagged as real historical precedent value, not an active funding lead, same treatment as the US table's Hurricane Sandy program.",https://search.open.canada.ca/grants/
can_ps_pdcp,Policy Development Contribution Program (PDCP),federal,Public Safety Canada,ps-sp,,direct_project,nonprofit|academia|indigenous|other,FALSE,UNKNOWN,national,disaster_recovery|hazard_mitigation|grant_readiness,small_to_medium (<$1M),"Real recipient_type_breakdown (92 awards merged across 6 name-spelling variants, $86.5M total): predominantly Not-for-profit and Academia, with some Indigenous recipients - funds disaster/emergency-management POLICY RESEARCH specifically, not field operations. Real fit for a research-partnership framing of a project, not direct cleanup/mitigation work.",https://search.open.canada.ca/grants/
can_ps_husar,Heavy Urban Search and Rescue Program (HUSAR),federal,Public Safety Canada,ps-sp,,direct_project,government,TRUE,UNKNOWN,national,disaster_recovery|emergency_response,medium ($100K-1M),"Real recipient_type_breakdown (9 awards merged across 2 name variants, $9.5M total): Government only - funds municipal/regional urban search-and-rescue team capacity, not a fit for a forest/wildfire-prevention project specifically but real disaster-response capacity precedent.",https://search.open.canada.ca/grants/
can_ps_hwf,Supporting a Humanitarian Workforce to Respond to COVID-19 and Other Large-Scale Emergencies (HWF),federal,Public Safety Canada,ps-sp,,direct_project,nonprofit,FALSE,UNKNOWN,national,disaster_recovery|community_resilience,large ($1M+),"Real recipient_type_breakdown (48 awards merged, $248.2M total): Not-for-profit organizations only - COVID-origin naming but the program text explicitly covers 'other large-scale emergencies,' not just the pandemic. Real, large-dollar, 100%-nonprofit-direct pathway.",https://search.open.canada.ca/grants/
